"project_name","scope","credits_issued"
"EOS ACR 352","Chemical Processes","68637"
"Cow Poo Digester","Agriculture","7781"
"Tradewater ODS2","Chemical Processes","103357"
"Greenwood Dairy Anaerobic Digester","Agriculture","61150"
"EOS ACR 356","Chemical Processes","110720"
"EOS ACR 357","Chemical Processes","84131"
"EOS ACR 358","Chemical Processes","60749"
"Tradewater ODS 3","Chemical Processes","97813"
"Whirlpool HFO Amana 362","Chemical Processes","106024"
"Tradewater ODS 4","Chemical Processes","91819"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA (HFO-1233zd(E)) 2014 and 2015","Chemical Processes","5967"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA (HFO-1233zd(E)) 2015","Chemical Processes","28770"
"Elk Creek Permit Area Abandoned Mine Project","Industrial/Commercial","758910"
"Foam Blowing Agent Project 002","Chemical Processes","113546"
"Tradewater ODS 5","Chemical Processes","121455"
"EOS ACR 372","Chemical Processes",NA
"Tradewater ODS 6","Chemical Processes","120918"
"CIG Pilot Project 1 - Nitrogen Management Credit Program (NMCP) Project","Agriculture","70"
"Re-Refining of Used Transformer Oil","Industrial/Commercial","175093"
"Tradewater ODS 7","Chemical Processes","138972"
"Tradewater ODS 8","Chemical Processes","138331"
"Tradewater ODS 9","Chemical Processes","129854"
"Corinth Abandoned Mine Methane Recovery Project","Industrial/Commercial","1185666"
"Clean Fuel Partners Dane County Biodigester","Agriculture","47847"
"Majestic Crossing Dairy Digester","Agriculture",NA
"Perennial OSG-1 AMM Flare Project","Industrial/Commercial",NA
"Tradewater ODS 10","Chemical Processes","137262"
"Perennial PRS-1 AMM Flare Project","Industrial/Commercial",NA
"Bluesource GCS Bear Canyon","Industrial/Commercial","144163"
"Tradewater ODS 11","Chemical Processes","118326"
"BMMC1","Industrial/Commercial","1153452"
"Castelanelli Bros Dairy Digester","Agriculture","11295"
"Steuben County Bath Landfill GHG Offset Project","Waste Management","272366"
"WMMC1","Industrial/Commercial","37904"
"Tradewater ODS 12","Chemical Processes","132126"
"Tradewater ODS 13","Chemical Processes","140145"
"Tradewater ODS 14","Chemical Processes","141087"
"Tradewater ODS 15","Chemical Processes","52322"
"Hudson Tech 2018-1","Chemical Processes","21967"
"Tradewater ODS 16","Chemical Processes","148592"
"Tradewater ODS 17","Chemical Processes","105029"
"Tradewater ODS 18","Chemical Processes","96146"
"Whirlpool HFO Amana 440","Chemical Processes","127682"
"Coolgas 2019-2","Chemical Processes","113564"
"A-Gas 2019-3","Chemical Processes","114871"
"A-Gas 2019-4","Chemical Processes","88307"
"Hudson Tech 2019-1","Chemical Processes","54157"
"Foam Blowing Agent Project 001B","Chemical Processes","63104"
"Foam Blowing Agent Project 001C","Chemical Processes","93458"
"Foam Blowing Agent Project 001D","Chemical Processes","85790"
"Foam Blowing Agent Project 002D","Chemical Processes","110988"
"Foam Blowing Agent Project 002C","Chemical Processes","110310"
"Foam Blowing Agent Project 002B","Chemical Processes","105696"
"Foam Blowing Agent Project 003C","Chemical Processes","291983"
"Foam Blowing Agent Project 003D","Chemical Processes","520153"
"Foam Blowing Agent Project 001E","Chemical Processes","46868"
"Tradewater ODS 19","Chemical Processes","85284"
"Foam Blowing Agent Project 001F","Chemical Processes","60655"
"Foam Blowing Agent Project 001G","Chemical Processes","63778"
"Foam Blowing Agent Project 001H","Chemical Processes","66273"
"Foam Blowing Agent Project 001I","Chemical Processes","67092"
"Foam Blowing Agent Project 001J","Chemical Processes","68943"
"WTE Digester","Agriculture","37316"
"Tradewater ODS 20","Chemical Processes","83032"
"Hudson Tech 2019-2","Chemical Processes","44551"
"PERENNIAL CN9-1 AMM FLARE PROJECT","Industrial/Commercial","65456"
"Tradewater ODS 21","Chemical Processes","35887"
"Tradewater ODS 22","Chemical Processes","83594"
"A-Gas 2019-5","Chemical Processes","125403"
"A-Gas 2019-6","Chemical Processes","149835"
"A-Gas 2019-7","Chemical Processes","91017"
"Advanced Refrigeration US49 - ARS 001","Chemical Processes","199624"
"Advanced Refrigeration US49 - ARS 002","Chemical Processes","324357"
"Advanced Refrigeration US49 - ARS 003","Chemical Processes","371461"
"Tradewater ODS 23","Chemical Processes","101230"
"Whirlpool HFO Amana 485","Chemical Processes","125302"
"Whirlpool HFO Amana 486","Chemical Processes","119102"
"Whirlpool HFO Amana 487","Chemical Processes","66579"
"Tradewater ODS 24","Chemical Processes","83226"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2016","Chemical Processes","25094"
"Tradewater ODS 25","Chemical Processes","84831"
"Marshall County Flare I","Industrial/Commercial","350939"
"Tradewater ODS 26","Chemical Processes","84842"
"A-Gas 2019-Misc","Chemical Processes","51610"
"A-Gas 2019-8","Chemical Processes","42038"
"Tradewater ODS 27","Chemical Processes","106355"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2017","Chemical Processes","22304"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2018","Chemical Processes","26208"
"A-Gas 2019-9","Chemical Processes","136444"
"Hudson Tech 2019-6","Chemical Processes","70400"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2016b","Chemical Processes","55566"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2017b","Chemical Processes","121764"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2018b","Chemical Processes","130336"
"Tradewater ODS 28","Chemical Processes","129697"
"Tradewater ODS 29","Chemical Processes","79438"
"A-Gas 1-2020","Chemical Processes","62007"
"A-Gas 2-2020","Chemical Processes","94565"
"Hudson Tech 2019-7","Chemical Processes","118763"
"Advanced Refrigeration CAL - ARS  001B","Chemical Processes","21141"
"Advanced Refrigeration CAN - ARS 001C","Chemical Processes","17453"
"Advanced Refrigeration CAL - ARS 002B","Chemical Processes","41381"
"Advanced Refrigeration CAN - ARS 002C","Chemical Processes","32468"
"Advanced Refrigeration CAL - ARS 003B","Chemical Processes","52251"
"Advanced Refrigeration CAN - ARS 003C","Chemical Processes","37043"
"Tradewater ODS 30","Chemical Processes","108679"
"A-Gas 3-2020","Chemical Processes","81042"
"Hudson Tech 2020-1","Chemical Processes","89632"
"Tradewater ODS 31","Chemical Processes","89898"
"Wabash Abandoned Mine Methane Recovery Project","Industrial/Commercial","72613"
"Hudson Tech 2020-2","Chemical Processes","58481"
"Pinnacle Mine Methane Incineration Project","Industrial/Commercial","15657"
"Orient 6 Abandoned Mine Methane Recovery Project","Industrial/Commercial","69492"
"Tradewater ODS 32","Chemical Processes","71885"
"Hubbard Creek Coal Gas Incineration Project","Industrial/Commercial","276540"
"WMMC2","Industrial/Commercial",NA
"Middle Fork Abandoned Mine Methane Recovery Project","Industrial/Commercial","54284"
"Tradewater ODS 33","Chemical Processes","56697"
"Perennial CN9-2 AMM FLARE PROJECT","Industrial/Commercial",NA
"Hudson Tech 2020-3","Chemical Processes","59364"
"Foam Blowing Agent Project 001L","Chemical Processes","526103"
"Foam Blowing Agent Project 002E","Chemical Processes","333499"
"Foam Blowing Agent Project 005","Chemical Processes","1666749"
"Hudson Tech HFC Reclamation Project 2020-1","Chemical Processes","269803"
"Mine 84 Abandoned Mine Methane Recovery Project","Industrial/Commercial","410590"
"Tradewater ODS 34","Chemical Processes","101273"
"Tradewater HFC Reclamation","Chemical Processes","10352"
"Spray Foam Omega 2","Chemical Processes","730969"
"Pattiki 2 Abandoned Mine Methane Recovery Project","Industrial/Commercial","112010"
"A-Gas V1","Chemical Processes","83702"
"Tradewater ODS 35","Chemical Processes","80326"
"New Era Abandoned Mine Methane Recovery Project","Industrial/Commercial","240965"
"Pleasant Hill Abandoned Mine Methane Recovery Project","Industrial/Commercial","7471"
"Hudson Tech 2020-4","Chemical Processes","56334"
"A-Gas V2","Chemical Processes","23045"
"A-Gas V3","Chemical Processes","16515"
"A-Gas V4","Chemical Processes","94592"
"Tradewater ODS 36","Chemical Processes","133145"
"Spray Foam Alpha","Chemical Processes","200854"
"NMMC1","Industrial/Commercial","46747"
"CMMC1","Industrial/Commercial","36373"
"Tradewater Halon","Chemical Processes","5704"
"Advanced Refrigeration US49 - ARS 004","Chemical Processes","401452"
"Advanced Refrigeration CAL - ARS 004B","Chemical Processes","44571"
"Advanced Refrigeration CAN - ARS 004C","Chemical Processes","34725"
"True Manufacturing FBA Project 002","Chemical Processes","291297"
"Deep Mine 26 Abandoned Mine Methane Recovery Project","Industrial/Commercial","129596"
"Tradewater ODS 37","Chemical Processes","100810"
"Marshall County Flare II","Industrial/Commercial","225648"
"Marshall County Flare III","Industrial/Commercial","79342"
"Marion County Flare I","Industrial/Commercial","95698"
"Tradewater ODS 35a","Chemical Processes",NA
"Hudson Tech 2021-1","Chemical Processes","163910"
"Spray Foam Alpha 2","Chemical Processes","306412"
"Spray Foam Omega 3","Chemical Processes","1610884"
"Foam Blowing Agent Project 003F","Chemical Processes","1934327"
"Foam Blowing Agent Project 002F","Chemical Processes","321718"
"Foam Blowing Agent Project 001M","Chemical Processes","432039"
"Tradewater ODS 38","Chemical Processes","136658"
"Tradewater ODS 39","Chemical Processes","4520"
"Hudson Technologies HFC Reclamation Project Champaign 2020","Chemical Processes","903568"
"Carlisle Abandoned Mine Methane Recovery Project","Industrial/Commercial","145042"
"Hudson Technologies HFC Reclamation Project Ontario 2020","Chemical Processes","156893"
"Tradewater ODS 40","Chemical Processes","93755"
"Advanced Refrigeration US49 - ARS 005","Chemical Processes","367047"
"Advanced Refrigeration CAL - ARS 005B","Chemical Processes","18605"
"Advanced Refrigeration CAN - ARS 005C","Chemical Processes","16102"
"Willow Lake Abandoned Mine Methane Recovery Project","Industrial/Commercial","204215"
"Tradewater ODS 41","Chemical Processes","72142"
"A-Gas V5","Chemical Processes","754484"
"Hudson Technologies HFC Reclamation Project 2020 - Georgia","Chemical Processes","688636"
"Hudson Tech 2021-2","Chemical Processes","85100"
"PMR #3","Industrial/Commercial","80196"
"CH4 - BWM Carbon Capture Project 1","Industrial/Commercial","64213"
"True Manufacturing FBA Project 002A","Chemical Processes","282972"
"Whirlpool HFO Amana 656","Chemical Processes","2149053"
"Whirlpool HFO Amana 657","Chemical Processes","1698251"
"Whirlpool HFO Ottawa 658","Chemical Processes","414184"
"Whirlpool HFO Ottawa 659","Chemical Processes","26358"
"Whirlpool HFO Ramos 660","Chemical Processes","1463633"
"Whirlpool HFO Ramos 661","Chemical Processes","93109"
"Whirlpool HFO Supsa 662","Chemical Processes","129653"
"Fielding Environmental HFC Reclamation Offset Project","Chemical Processes","93571"
"Tradewater ODS 42","Chemical Processes","93937"
"New Future Abandoned Mine Methane Recovery Project","Industrial/Commercial","112158"
"TWRS 2","Chemical Processes","17238"
"Tradewater ODS 43","Chemical Processes","73042"
"Affinity Mine Methane Incineration Project","Industrial/Commercial","129262"
"Heilwood Mine Methane Incineration Project","Industrial/Commercial","196904"
"A-Gas V6","Chemical Processes","1908868"
"A-Gas V7","Chemical Processes","186441"
"Gibson North AMM Project","Industrial/Commercial",NA
"Tradewater ODS 44","Chemical Processes","89712"
"Hudson Tech 2021-3","Chemical Processes","58191"
"American Refrigerants 1","Chemical Processes","13250"
"Oaktown Fuel 1 Mine Methane Incineration Project","Industrial/Commercial","39135"
"Oaktown Fuel 2 Mine Methane Incineration Project","Industrial/Commercial","41281"
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project","Chemical Processes","30331"
"Advanced Refrigeration US49 - ARS 006","Chemical Processes","306989"
"Advanced Refrigeration CAL - ARS 006B","Chemical Processes","25376"
"Advanced Refrigeration CAN - ARS 006C","Chemical Processes","18868"
"Cumberland County Solid Waste Complex: GHG Emissions Reduction Automated Collection of Landfill Gas","Waste Management","29760"
"South Wake Landfill, Apex, Wake County NC: GHG Emissions Reduction Automated Collection of Landfill Gas","Waste Management","22161"
"Perennial CMM CMB7-1 Flare Project","Industrial/Commercial","122511"
"Tradewater US - ODS - #1","Chemical Processes","31818"
"Advanced Refrigeration - ARS2019001","Chemical Processes","44458"
"Advanced Refrigeration - ARS2021001","Chemical Processes","39881"
"Urling Abandoned Mine Methane Recovery Project","Industrial/Commercial","21850"
"Tradewater ODS 45","Chemical Processes","75576"
"Beckley Pocahontas Mine Methane Incineration Project","Industrial/Commercial","187099"
"Advanced Refrigeration - ARS2020001","Chemical Processes","32742"
"Marshall County Flare IV","Industrial/Commercial","73959"
"Hudson Tech 2022-1","Chemical Processes","76661"
"Tradewater US - ODS - #2","Chemical Processes","24294"
"GMMC1","Industrial/Commercial",NA
"Fielding Environmental HFC Reclamation Offset Project - 2020","Chemical Processes","80697"
"Federal 2 Abandoned Mine Methane Recovery Project","Industrial/Commercial","436803"
"Tradewater ODS 46","Chemical Processes","114791"
"Foam Blowing Agent Project 003G","Chemical Processes","1439650"
"Foam Blowing Agent Project 002G","Chemical Processes","318479"
"Foam Blowing Agent Project 001N","Chemical Processes","790397"
"Spray Foam Omega 4","Chemical Processes","804831"
"Spray Foam Alpha 3","Chemical Processes","212324"
"Lowry Mine Methane Incineration Project","Industrial/Commercial","108948"
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2019","Chemical Processes","110016"
"A-Gas V8","Chemical Processes","1368452"
"A-Gas V9","Chemical Processes","154340"
"A-Gas V10","Chemical Processes","343908"
"Summit HFC Reclaim 2020","Chemical Processes","90374"
"RHI HFC Reclaim 2021","Chemical Processes","51793"
"Marion County Flare II","Industrial/Commercial","115823"
"Tradewater ODS 47","Chemical Processes","129471"
"Century/Powhatan No. 6 MMC Project","Industrial/Commercial",NA
"Advanced Refrigeration - ARS2020002","Chemical Processes","13360"
"Tradewater International - Saudi Arabia 1.0","Chemical Processes",NA
"Tradewater International Honduras 1.0","Chemical Processes","61861"
"CH4-BWM Carbon Capture Project 2","Industrial/Commercial","54665"
"HT HFC Reclamation Project Ontario 2021","Chemical Processes","178538"
"Bonny Abandoned Mine Methane Recovery Project","Industrial/Commercial","107096"
"Shoal Creek Mine Methane Incineration Project","Industrial/Commercial","174473"
"Rend Lake Abandoned Mine Methane Recovery Project","Industrial/Commercial","112376"
"Hudson Tech 2022-2","Chemical Processes","52817"
"Perennial CMM Emerald Mine AMM Flare Project","Industrial/Commercial","134887"
"OMMC1","Industrial/Commercial","5016"
"Advanced Refrigeration - ARS2020003","Chemical Processes","257840"
"Tradewater International - Thailand 1.0","Chemical Processes","192244"
"Advanced Refrigeration - ARS2022001","Chemical Processes","19002"
"True Manufacturing FBA Project 002B","Chemical Processes","169066"
"HT HFC Reclamation Project Champaign 2021","Chemical Processes","1259253"
"HT HFC Reclamation Project Georgia 2021","Chemical Processes","292094"
"Marshall County Flare V","Industrial/Commercial","26898"
"A-Gas South Korea 1","Chemical Processes","88945"
"Fielding Environmental HFC Reclamation Offset Project - 2021","Chemical Processes","55015"
"Tradewater ODS 48","Chemical Processes","132823"
"A-Gas V11","Chemical Processes","937572"
"Summit HFC Reclaim 2021","Chemical Processes","134047"
"Advanced Refrigeration - ARS2021002","Chemical Processes","47025"
"Foam Blowing Agent Project 003H","Chemical Processes","1102120"
"Foam Blowing Agent Project 001P","Chemical Processes","1016515"
"Foam Blowing Agent Project 002H","Chemical Processes","305601"
"Spray Foam Alpha 4","Chemical Processes","239150"
"Spray Foam Omega 5","Chemical Processes","675572"
"Tradewater - Thailand 2","Chemical Processes","193364"
"American Eagle Mine Methane Incineration Project","Industrial/Commercial","293279"
"Perennial CMM CMB10-4 Flare Project","Industrial/Commercial","144936"
"Tradewater - Thailand 3","Chemical Processes","192051"
"Harrison County Flare I","Industrial/Commercial","68393"
"HT HFC Reclamation Project Ontario 2022","Chemical Processes","151019"
"HT HFC Reclamation Project Champaign 2022","Chemical Processes","1038402"
"A-Gas ODS-VER1","Chemical Processes","15943"
"Perennial CMM HRS Dent's Run Flare Project","Industrial/Commercial","116527"
"Advanced Refrigeration - ARS2021003","Chemical Processes","20230"
"A-Gas V12","Chemical Processes","1855393"
"Tradewater ODS 49","Chemical Processes","86994"
"Tradewater US - ODS - #3","Chemical Processes","67967"
"Advanced Refrigeration - ARS2022002","Chemical Processes","64135"
"Hudson Tech 2023-1","Chemical Processes","71350"
"Capture and removal of fugitive venting coal mine methane 50-5","Industrial/Commercial",NA
"A-Gas South Korea 2","Chemical Processes","74831"
"HMMC1","Industrial/Commercial","20928"
"Tradewater ODS 50","Chemical Processes","42364"
"Spray Foam Omega 4C","Chemical Processes","189460"
"Spray Foam Omega 5C","Chemical Processes","154417"
"Tradewater US - ODS - #6","Chemical Processes",NA
"Heartland Methane Abatement and Land Restoration – Packard & Kottke Ranch Project","Industrial/Commercial","80782"
"Tradewater ODS 51","Chemical Processes","139956"
"Tradewater - Chile 1","Chemical Processes",NA
"Tradewater OOG 1","Industrial/Commercial",NA
"Roosevelt Regional Landfill, Roosevelt, WA: GHG Emission Reduction Automation Collection of Landfill Gas","Waste Management","39414"
"Wesco HMB, Inc. HFC Reclamation Project  New Jersey 2023","Chemical Processes","84269"
"OH-2022-VE001 Orphan Well Project","Industrial/Commercial",NA
"Harrison County Flare II","Industrial/Commercial","52625"
"A-Gas 2-2023","Chemical Processes","109180"
"Tradewater - Thailand 4","Chemical Processes","189561"
"Advanced Refrigeration - ARS2021004","Chemical Processes","164129"
"A-Gas V14","Chemical Processes","2220554"
"Perennial CMM CMB3-5 Flare Project","Industrial/Commercial",NA
"Buchanan VAM VS-16","Industrial/Commercial","529722"
"Harrison County Flare III","Industrial/Commercial","23653"
"Tradewater OOG 2","Industrial/Commercial",NA
"Refrigerants Inc HFC Reclaim 2022","Chemical Processes",NA
"PMR VT2","Industrial/Commercial",NA
"Tradewater ODS 52","Chemical Processes","61130"
"Advanced Refrigeration - ARS2021005","Chemical Processes","166106"
"Broome County Nanticoke Landfill, Binghamton, NY:  GHG Emissions Reduction Automation Collection of Landfill Gas","Waste Management",NA
"Hudson Tech 2023-2","Chemical Processes","41444"
"Loess Hills Regional Sanitary Landfill","Waste Management","228572"
"Tradewater - Thailand 5","Chemical Processes","191104"
"ARS 007 - US(41)","Chemical Processes",NA
"ARS 007A - CA (& 8 other states)","Chemical Processes",NA
"Reclamation Technologies: HFC Reclamation Project 1","Chemical Processes","1974"
"Advanced Refrigeration - ARS2023001","Chemical Processes","20124"
"CO Orphan Well P&A CS-23-001","Industrial/Commercial",NA
"Kielty Abandoned Mine Methane Recovery Project","Industrial/Commercial",NA
"A-Gas ODS-VER2","Chemical Processes","21498"
"PermCap Louisiana Methane Abatement Project 001","Industrial/Commercial",NA
"A-Gas V13","Chemical Processes","867204"
